snapshot_label,constructor,cost_m
Australian GP costs,Mercedes,29.3
Australian GP costs,McLaren,28.9
Australian GP costs,Red Bull Racing,28.2
Australian GP costs,Ferrari,23.3
Australian GP costs,Alpine,12.5
Australian GP costs,Williams,12.0
Australian GP costs,Aston Martin,10.3
Australian GP costs,Haas F1 Team,7.4
Australian GP costs,Audi,6.6
Australian GP costs,Racing Bulls,6.3
Australian GP costs,Cadillac,6.0
Chinese GP costs,Mercedes,29.6
Chinese GP costs,Ferrari,23.6
Chinese GP costs,Red Bull Racing,28.5
Chinese GP costs,Racing Bulls,6.9
Chinese GP costs,Haas F1 Team,8.0
Chinese GP costs,Alpine,13.1
Chinese GP costs,Williams,12.6
Chinese GP costs,McLaren,28.8
Chinese GP costs,Audi,6.0
Chinese GP costs,Cadillac,5.4
Chinese GP costs,Aston Martin,9.7
Japanese GP costs,Mercedes,29.9
Japanese GP costs,Ferrari,23.9
Japanese GP costs,Haas F1 Team,8.6
Japanese GP costs,Red Bull Racing,28.8
Japanese GP costs,Cadillac,5.2
Japanese GP costs,Audi,5.4
Japanese GP costs,Aston Martin,9.1
Japanese GP costs,McLaren,28.8
Japanese GP costs,Alpine,13.1
Japanese GP costs,Williams,12.6
Japanese GP costs,Racing Bulls,6.9
Miami GP costs,Mercedes,30.2
Miami GP costs,Ferrari,24.2
Miami GP costs,Haas F1 Team,8.6
Miami GP costs,Red Bull Racing,28.8
Miami GP costs,Cadillac,5.2
Miami GP costs,Audi,5.4
Miami GP costs,Aston Martin,9.1
Miami GP costs,McLaren,28.6
Miami GP costs,Alpine,13.1
Miami GP costs,Williams,12.6
Miami GP costs,Racing Bulls,6.9
