snapshot_label,driver,cost_m
Australian GP costs,Max Verstappen,27.7
Australian GP costs,George Russell,27.4
Australian GP costs,Lando Norris,27.2
Australian GP costs,Oscar Piastri,25.5
Australian GP costs,Kimi Antonelli,23.2
Australian GP costs,Charles Leclerc,22.8
Australian GP costs,Lewis Hamilton,22.5
Australian GP costs,Isack Hadjar,15.1
Australian GP costs,Pierre Gasly,12.0
Australian GP costs,Carlos Sainz,11.8
Australian GP costs,Alexander Albon,11.6
Australian GP costs,Fernando Alonso,10.0
Australian GP costs,Lance Stroll,8.0
Australian GP costs,Oliver Bearman,7.4
Australian GP costs,Esteban Ocon,7.3
Australian GP costs,Nico Hulkenberg,6.8
Australian GP costs,Liam Lawson,6.5
Australian GP costs,Gabriel Bortoleto,6.4
Australian GP costs,Arvid Lindblad,6.2
Australian GP costs,Franco Colapinto,6.2
Australian GP costs,Sergio Perez,6.0
Australian GP costs,Valtteri Bottas,5.9
Chinese GP costs,Max Verstappen,28.0
Chinese GP costs,George Russell,27.7
Chinese GP costs,Kimi Antonelli,23.5
Chinese GP costs,Charles Leclerc,23.1
Chinese GP costs,Lewis Hamilton,22.6
Chinese GP costs,Lando Norris,27.1
Chinese GP costs,Oliver Bearman,8.0
Chinese GP costs,Arvid Lindblad,6.8
Chinese GP costs,Gabriel Bortoleto,7.0
Chinese GP costs,Pierre Gasly,12.2
Chinese GP costs,Carlos Sainz,11.6
Chinese GP costs,Esteban Ocon,7.9
Chinese GP costs,Alexander Albon,11.4
Chinese GP costs,Franco Colapinto,6.4
Chinese GP costs,Liam Lawson,6.3
Chinese GP costs,Sergio Perez,5.8
Chinese GP costs,Isack Hadjar,14.5
Chinese GP costs,Oscar Piastri,25.2
Chinese GP costs,Fernando Alonso,9.4
Chinese GP costs,Valtteri Bottas,5.3
Chinese GP costs,Nico Hulkenberg,6.2
Chinese GP costs,Lance Stroll,7.4
Japanese GP costs,Kimi Antonelli,23.8
Japanese GP costs,George Russell,28.0
Japanese GP costs,Charles Leclerc,23.4
Japanese GP costs,Lewis Hamilton,22.9
Japanese GP costs,Max Verstappen,28.1
Japanese GP costs,Oliver Bearman,8.6
Japanese GP costs,Liam Lawson,6.9
Japanese GP costs,Carlos Sainz,12.2
Japanese GP costs,Esteban Ocon,8.5
Japanese GP costs,Pierre Gasly,12.8
Japanese GP costs,Sergio Perez,6.4
Japanese GP costs,Franco Colapinto,7.0
Japanese GP costs,Arvid Lindblad,7.4
Japanese GP costs,Isack Hadjar,13.9
Japanese GP costs,Lando Norris,26.8
Japanese GP costs,Alexander Albon,10.8
Japanese GP costs,Gabriel Bortoleto,6.4
Japanese GP costs,Valtteri Bottas,4.7
Japanese GP costs,Nico Hulkenberg,5.6
Japanese GP costs,Oscar Piastri,24.9
Japanese GP costs,Fernando Alonso,8.8
Japanese GP costs,Lance Stroll,6.8
Miami GP costs,Kimi Antonelli,24.1
Miami GP costs,George Russell,28.3
Miami GP costs,Charles Leclerc,23.7
Miami GP costs,Lewis Hamilton,23.2
Miami GP costs,Max Verstappen,28.2
Miami GP costs,Oliver Bearman,9.2
Miami GP costs,Liam Lawson,7.5
Miami GP costs,Carlos Sainz,12.4
Miami GP costs,Esteban Ocon,9.1
Miami GP costs,Pierre Gasly,13.0
Miami GP costs,Sergio Perez,7.0
Miami GP costs,Franco Colapinto,7.6
Miami GP costs,Arvid Lindblad,7.6
Miami GP costs,Isack Hadjar,13.3
Miami GP costs,Lando Norris,26.5
Miami GP costs,Alexander Albon,10.8
Miami GP costs,Gabriel Bortoleto,6.4
Miami GP costs,Valtteri Bottas,4.7
Miami GP costs,Nico Hulkenberg,5.0
Miami GP costs,Oscar Piastri,24.6
Miami GP costs,Fernando Alonso,8.8
Miami GP costs,Lance Stroll,6.8
